Date,Product,Category,Region,Age Group,Units Sold,Unit Price,Total Sales
2024-02-12,Backpack,Accessories,East,26-35,8,80.13,641.04
2023-04-24,Watch,Accessories,North,36-45,16,155.12,2481.92
2024-02-20,Watch,Accessories,South,46+,2,137.86,275.72
2023-11-11,Phone,Electronics,West,18-25,17,756.38,12858.46
2022-02-01,Headphones,Electronics,West,26-35,3,197.79,593.37
2023-06-27,Sneakers,Footwear,West,18-25,11,95.27,1047.97
2024-12-28,Watch,Accessories,East,46+,18,135.17,2433.06
2022-05-21,T-Shirt,Clothing,East,26-35,3,28.62,85.86
2022-07-21,Phone,Electronics,West,26-35,10,755.4,7554.0
2022-04-05,Sneakers,Footwear,North,36-45,12,86.77,1041.24
2022-10-26,T-Shirt,Clothing,West,26-35,6,27.12,162.72
2024-02-23,T-Shirt,Clothing,West,26-35,8,28.77,230.16
2023-06-05,Backpack,Accessories,East,18-25,15,85.34,1280.1
2022-11-20,Phone,Electronics,West,36-45,19,670.92,12747.48
2024-05-18,Jeans,Clothing,West,36-45,7,64.89,454.23
2024-09-16,Phone,Electronics,South,46+,19,679.28,12906.32
2023-08-29,Jeans,Clothing,North,46+,9,53.2,478.8
2022-04-11,Backpack,Accessories,East,26-35,20,83.77,1675.4
2023-03-25,T-Shirt,Clothing,East,26-35,4,31.34,125.36
2022-03-22,Jeans,Clothing,West,18-25,19,57.41,1090.79
2022-09-27,Phone,Electronics,East,36-45,14,653.65,9151.1
2022-09-28,Sneakers,Footwear,East,26-35,9,96.37,867.33
2024-09-13,Jeans,Clothing,East,18-25,15,64.46,966.9
2022-10-16,T-Shirt,Clothing,West,36-45,3,30.69,92.07
2022-01-29,Jeans,Clothing,North,46+,12,61.04,732.48
2023-06-21,Watch,Accessories,East,18-25,8,148.15,1185.2
2023-11-03,T-Shirt,Clothing,North,46+,10,29.87,298.7
2022-08-27,Headphones,Electronics,North,18-25,10,218.74,2187.4
2022-08-26,Phone,Electronics,South,26-35,13,692.52,9002.76
2024-05-08,Headphones,Electronics,West,18-25,16,203.6,3257.6
2023-07-27,Laptop,Electronics,East,26-35,15,987.95,14819.25
2023-04-29,Sneakers,Footwear,North,36-45,18,96.15,1730.7
2024-01-05,Laptop,Electronics,West,36-45,7,1092.55,7647.85
2024-07-20,Phone,Electronics,South,18-25,2,739.09,1478.18
2023-05-14,Headphones,Electronics,South,18-25,18,187.34,3372.12
2023-03-19,T-Shirt,Clothing,East,26-35,20,26.12,522.4
2022-10-24,Headphones,Electronics,East,26-35,4,205.41,821.64
2022-02-22,Headphones,Electronics,North,36-45,8,202.54,1620.32
2022-02-02,Headphones,Electronics,East,18-25,5,208.62,1043.1
2024-12-13,Phone,Electronics,North,46+,15,737.87,11068.05
2024-11-17,Phone,Electronics,West,26-35,20,635.16,12703.2
2024-12-03,Jeans,Clothing,West,18-25,2,64.88,129.76
2024-04-02,Watch,Accessories,North,46+,15,136.29,2044.35
2022-06-15,Sneakers,Footwear,South,18-25,5,85.0,425.0
2023-10-28,Watch,Accessories,East,46+,17,152.14,2586.38
2022-07-23,Phone,Electronics,South,46+,15,753.26,11298.9
2024-04-27,Sneakers,Footwear,West,46+,14,93.09,1303.26
2023-10-03,Watch,Accessories,East,36-45,12,162.52,1950.24
2024-08-29,Phone,Electronics,North,18-25,3,689.48,2068.44
2024-02-03,Headphones,Electronics,North,36-45,4,195.45,781.8
2024-05-16,Laptop,Electronics,East,36-45,12,919.8,11037.6
2024-11-05,T-Shirt,Clothing,South,46+,8,31.01,248.08
2023-12-19,Sneakers,Footwear,North,36-45,19,84.13,1598.47
2024-05-28,Laptop,Electronics,East,18-25,6,953.7,5722.2
2023-09-25,Sneakers,Footwear,East,18-25,6,95.58,573.48
2024-03-31,Phone,Electronics,South,18-25,3,733.41,2200.23
2023-03-17,Watch,Accessories,West,46+,11,138.79,1526.69
2023-10-01,Sneakers,Footwear,North,18-25,5,82.9,414.5
2022-04-12,Phone,Electronics,East,46+,14,697.0,9758.0
2024-06-24,Watch,Accessories,East,26-35,17,137.49,2337.33
2024-05-30,Phone,Electronics,East,46+,17,722.37,12280.29
2022-04-04,T-Shirt,Clothing,West,18-25,1,27.29,27.29
2023-03-09,Headphones,Electronics,East,36-45,11,183.88,2022.68
2024-10-15,Watch,Accessories,South,26-35,13,149.97,1949.61
2023-04-17,Sneakers,Footwear,North,46+,2,87.86,175.72
2024-07-30,Phone,Electronics,East,46+,19,685.64,13027.16
2024-05-05,Jeans,Clothing,North,46+,1,64.5,64.5
2022-12-18,Backpack,Accessories,East,18-25,14,84.44,1182.16
2023-05-14,Watch,Accessories,West,18-25,13,160.04,2080.52
2023-11-27,T-Shirt,Clothing,East,26-35,3,29.06,87.18
2022-08-22,T-Shirt,Clothing,East,36-45,5,27.47,137.35
2022-10-27,Jeans,Clothing,South,26-35,20,54.9,1098.0
2022-06-04,Headphones,Electronics,West,46+,19,209.34,3977.46
2024-07-08,Sneakers,Footwear,East,26-35,15,81.32,1219.8
2024-06-24,Jeans,Clothing,East,18-25,12,59.09,709.08
2023-09-28,Backpack,Accessories,West,18-25,2,76.93,153.86
2023-08-11,Phone,Electronics,North,46+,15,710.23,10653.45
2022-03-26,Backpack,Accessories,South,36-45,20,78.61,1572.2
2022-11-05,Laptop,Electronics,West,18-25,11,1095.38,12049.18
2022-06-22,Headphones,Electronics,North,26-35,15,218.54,3278.1
2024-12-09,Headphones,Electronics,East,36-45,10,194.52,1945.2
2023-11-24,Laptop,Electronics,East,18-25,11,917.98,10097.78
2024-03-02,Jeans,Clothing,East,26-35,11,54.06,594.66
2022-10-17,Sneakers,Footwear,East,46+,5,90.69,453.45
2022-06-23,Jeans,Clothing,West,36-45,5,61.01,305.05
2024-12-14,Phone,Electronics,West,36-45,1,679.79,679.79
2023-01-05,T-Shirt,Clothing,East,46+,7,27.41,191.87
2022-10-09,Headphones,Electronics,North,36-45,4,199.31,797.24
2024-12-14,Laptop,Electronics,East,26-35,20,974.37,19487.4
2022-11-29,Headphones,Electronics,South,46+,2,195.45,390.9
2023-05-02,Backpack,Accessories,East,46+,8,79.54,636.32
2023-09-26,Backpack,Accessories,South,36-45,19,86.65,1646.35
2024-08-03,Jeans,Clothing,West,46+,6,62.74,376.44
2022-10-11,Jeans,Clothing,North,46+,12,59.64,715.68
2022-07-30,Phone,Electronics,East,18-25,6,667.24,4003.44
2024-11-17,Headphones,Electronics,West,18-25,8,211.6,1692.8
2023-12-17,Laptop,Electronics,West,18-25,13,999.4,12992.2
2023-04-28,Watch,Accessories,North,36-45,8,134.94,1079.52
2022-07-22,Sneakers,Footwear,South,26-35,2,85.21,170.42
2024-08-25,Headphones,Electronics,West,46+,20,179.31,3586.2
2022-06-12,Laptop,Electronics,East,26-35,5,1008.75,5043.75
2024-12-16,Watch,Accessories,North,36-45,8,143.07,1144.56
2022-04-08,T-Shirt,Clothing,West,46+,3,26.74,80.22
2024-10-20,Laptop,Electronics,South,26-35,10,984.86,9848.6
2023-12-24,T-Shirt,Clothing,West,26-35,3,29.14,87.42
2024-01-09,Phone,Electronics,North,46+,16,635.19,10163.04
2024-03-03,Sneakers,Footwear,East,18-25,12,94.14,1129.68
2023-12-08,T-Shirt,Clothing,North,36-45,5,26.36,131.8
2023-11-25,Headphones,Electronics,West,46+,6,211.4,1268.4
2022-05-10,Backpack,Accessories,North,36-45,7,71.79,502.53
2023-02-13,Laptop,Electronics,East,36-45,17,978.67,16637.39
2024-08-27,Jeans,Clothing,North,26-35,10,57.31,573.1
2022-04-08,Sneakers,Footwear,East,18-25,12,87.88,1054.56
2024-03-30,Backpack,Accessories,West,36-45,6,78.94,473.64
2024-10-15,Sneakers,Footwear,East,18-25,14,81.5,1141.0
2023-01-05,Jeans,Clothing,East,18-25,3,56.97,170.91
2023-08-29,Jeans,Clothing,West,46+,6,61.24,367.44
2023-12-21,Backpack,Accessories,North,36-45,20,86.87,1737.4
2023-07-17,Laptop,Electronics,North,46+,12,1001.61,12019.32
2022-11-24,Laptop,Electronics,South,46+,2,924.32,1848.64
2023-04-29,Sneakers,Footwear,East,46+,19,80.68,1532.92
2022-11-11,Backpack,Accessories,East,36-45,15,83.16,1247.4
2022-10-09,Sneakers,Footwear,West,36-45,9,84.54,760.86
2022-08-21,Laptop,Electronics,South,46+,17,976.42,16599.14
2022-08-30,Jeans,Clothing,East,46+,7,64.86,454.02
2023-08-08,Backpack,Accessories,South,18-25,5,84.57,422.85
2024-07-14,Headphones,Electronics,West,18-25,11,205.68,2262.48
2022-05-13,Jeans,Clothing,East,26-35,6,62.47,374.82
2024-11-07,T-Shirt,Clothing,North,26-35,5,27.47,137.35
2024-10-08,Laptop,Electronics,East,36-45,15,1059.67,15895.05
2022-09-23,Phone,Electronics,North,36-45,13,768.84,9994.92
2024-09-07,Watch,Accessories,West,18-25,5,163.08,815.4
2022-06-01,Backpack,Accessories,West,36-45,5,84.97,424.85
2023-01-08,Headphones,Electronics,West,18-25,4,199.72,798.88
2023-09-15,Headphones,Electronics,South,36-45,8,192.87,1542.96
2024-11-28,Jeans,Clothing,North,36-45,7,60.59,424.13
2023-07-17,Headphones,Electronics,East,18-25,17,204.61,3478.37
2022-11-12,Headphones,Electronics,East,18-25,1,182.33,182.33
2023-06-27,T-Shirt,Clothing,West,18-25,16,31.26,500.16
2023-08-17,Jeans,Clothing,West,26-35,13,56.61,735.93
2022-05-30,Laptop,Electronics,South,46+,14,995.85,13941.9
2023-02-22,Sneakers,Footwear,South,36-45,11,93.17,1024.87
2023-12-09,Watch,Accessories,South,36-45,17,150.84,2564.28
2023-10-16,T-Shirt,Clothing,West,18-25,9,28.71,258.39
2022-10-16,Phone,Electronics,North,36-45,13,749.91,9748.83
2024-05-06,T-Shirt,Clothing,South,36-45,19,30.28,575.32
2023-01-24,Headphones,Electronics,West,46+,16,214.09,3425.44
2024-10-15,Laptop,Electronics,North,46+,17,990.45,16837.65
2023-05-09,T-Shirt,Clothing,East,18-25,2,27.73,55.46
2024-08-21,Jeans,Clothing,North,18-25,14,54.68,765.52
2023-06-26,Sneakers,Footwear,West,36-45,2,87.23,174.46
2023-02-03,Sneakers,Footwear,East,18-25,13,89.08,1158.04
2023-07-27,Phone,Electronics,South,18-25,13,681.27,8856.51
2023-11-26,Sneakers,Footwear,South,26-35,20,89.16,1783.2
2024-10-21,Laptop,Electronics,North,18-25,5,1041.68,5208.4
2024-08-28,Backpack,Accessories,South,26-35,11,85.82,944.02
2023-10-15,Headphones,Electronics,West,36-45,19,192.49,3657.31
2024-11-09,Backpack,Accessories,East,46+,1,76.92,76.92
2022-08-13,Watch,Accessories,East,18-25,20,148.24,2964.8
2023-04-12,Laptop,Electronics,West,26-35,17,1024.78,17421.26
2024-02-18,Headphones,Electronics,South,18-25,19,216.84,4119.96
2022-08-14,T-Shirt,Clothing,North,46+,11,28.53,313.83
2024-04-25,T-Shirt,Clothing,West,46+,2,30.19,60.38
2024-11-28,T-Shirt,Clothing,East,46+,17,28.29,480.93
2022-12-21,Backpack,Accessories,East,36-45,9,80.74,726.66
2023-01-29,T-Shirt,Clothing,East,36-45,8,31.56,252.48
2023-09-02,Jeans,Clothing,South,46+,11,58.76,646.36
2023-07-15,Jeans,Clothing,North,46+,13,62.76,815.88
2022-10-27,Jeans,Clothing,North,36-45,3,57.19,171.57
2024-06-24,Jeans,Clothing,West,26-35,7,62.87,440.09
2023-07-10,Jeans,Clothing,South,18-25,20,61.84,1236.8
2023-05-06,T-Shirt,Clothing,North,26-35,8,26.4,211.2
2024-04-26,Sneakers,Footwear,West,18-25,5,80.19,400.95
2022-11-20,Watch,Accessories,West,46+,7,156.63,1096.41
2023-08-12,Sneakers,Footwear,East,18-25,3,91.71,275.13
2023-04-21,Laptop,Electronics,South,46+,6,1085.7,6514.2
2022-03-16,Watch,Accessories,West,26-35,10,160.23,1602.3
2022-01-19,Jeans,Clothing,North,36-45,10,58.46,584.6
2024-12-09,Backpack,Accessories,South,46+,9,74.15,667.35
2022-08-19,Sneakers,Footwear,South,46+,9,92.89,836.01
2022-01-29,Sneakers,Footwear,East,26-35,6,90.97,545.82
2024-04-10,Watch,Accessories,East,18-25,13,154.04,2002.52
2023-01-14,Headphones,Electronics,West,36-45,8,179.37,1434.96
2024-02-25,T-Shirt,Clothing,West,36-45,11,27.85,306.35
2022-01-24,Jeans,Clothing,East,26-35,2,60.98,121.96
2024-08-11,Jeans,Clothing,South,46+,17,63.99,1087.83
2023-09-29,Phone,Electronics,East,36-45,20,659.97,13199.4
2022-10-01,Backpack,Accessories,South,46+,20,77.0,1540.0
2024-08-22,T-Shirt,Clothing,South,18-25,17,28.69,487.73
2024-01-11,Phone,Electronics,North,18-25,18,755.32,13595.76
2023-02-19,Headphones,Electronics,South,36-45,17,196.69,3343.73
2023-02-25,Backpack,Accessories,North,46+,2,78.26,156.52
2024-11-17,Watch,Accessories,West,18-25,18,147.88,2661.84
2023-09-24,Laptop,Electronics,West,36-45,1,1048.11,1048.11
2022-05-30,Laptop,Electronics,West,36-45,3,1007.22,3021.66
2022-05-04,Phone,Electronics,West,18-25,10,686.26,6862.6
2022-10-05,Watch,Accessories,East,46+,15,160.01,2400.15
2024-02-13,Watch,Accessories,North,26-35,12,137.64,1651.68
2024-03-15,Headphones,Electronics,South,18-25,1,218.04,218.04
2024-08-06,Watch,Accessories,West,26-35,8,147.83,1182.64
2022-11-14,Jeans,Clothing,South,18-25,2,62.65,125.3
2024-05-08,Laptop,Electronics,South,26-35,3,919.26,2757.78
2022-03-10,Backpack,Accessories,North,26-35,2,77.46,154.92
2023-04-25,T-Shirt,Clothing,North,26-35,17,31.86,541.62
2023-04-25,Sneakers,Footwear,East,26-35,10,95.7,957.0
2024-12-03,T-Shirt,Clothing,West,36-45,9,26.45,238.05
2022-12-25,Watch,Accessories,West,18-25,12,162.16,1945.92
2024-02-20,Sneakers,Footwear,West,46+,5,85.44,427.2
2023-01-12,Backpack,Accessories,South,26-35,10,84.65,846.5
2022-10-23,Backpack,Accessories,North,46+,14,79.91,1118.74
2022-10-02,Watch,Accessories,South,36-45,7,143.94,1007.58
2022-06-11,Backpack,Accessories,East,18-25,18,82.55,1485.9
2023-01-26,Laptop,Electronics,East,46+,20,1019.56,20391.2
2022-05-30,T-Shirt,Clothing,South,46+,7,31.14,217.98
2023-11-13,Jeans,Clothing,North,26-35,7,64.45,451.15
2022-08-29,Backpack,Accessories,South,26-35,13,85.56,1112.28
2023-10-21,Jeans,Clothing,West,46+,18,60.75,1093.5
2023-09-24,Jeans,Clothing,East,46+,15,54.26,813.9
2024-08-19,Sneakers,Footwear,South,36-45,11,87.47,962.17
2023-03-30,Headphones,Electronics,North,36-45,18,216.3,3893.4
2024-05-05,Jeans,Clothing,South,26-35,11,55.81,613.91
2023-05-19,Backpack,Accessories,East,36-45,16,86.37,1381.92
2024-10-01,Backpack,Accessories,South,36-45,6,73.31,439.86
2024-09-27,Headphones,Electronics,North,18-25,3,216.72,650.16
2022-04-10,Laptop,Electronics,West,26-35,8,912.68,7301.44
2022-11-06,Laptop,Electronics,South,46+,12,911.18,10934.16
2024-09-16,Backpack,Accessories,North,18-25,18,79.82,1436.76
2022-01-25,Laptop,Electronics,East,36-45,1,999.44,999.44
2024-05-31,Headphones,Electronics,North,18-25,17,185.03,3145.51
2023-01-29,Jeans,Clothing,East,36-45,13,54.03,702.39
2024-04-11,Backpack,Accessories,South,26-35,10,81.91,819.1
2022-06-15,Laptop,Electronics,North,46+,13,974.46,12667.98
2024-09-01,Laptop,Electronics,North,26-35,3,998.97,2996.91
2024-06-07,Sneakers,Footwear,North,18-25,8,83.86,670.88
2024-08-31,Jeans,Clothing,North,18-25,9,63.71,573.39
2022-03-09,Headphones,Electronics,East,18-25,7,202.46,1417.22
2024-03-26,Phone,Electronics,East,26-35,19,662.72,12591.68
2024-03-07,Sneakers,Footwear,West,26-35,3,89.01,267.03
2023-12-10,Laptop,Electronics,North,46+,8,1066.67,8533.36
2023-11-29,Watch,Accessories,East,18-25,9,157.45,1417.05
2024-07-11,Backpack,Accessories,South,36-45,18,85.97,1547.46
2024-06-03,Headphones,Electronics,West,18-25,20,190.86,3817.2
2023-05-20,Phone,Electronics,North,36-45,5,682.22,3411.1
2022-11-12,Watch,Accessories,East,36-45,4,136.83,547.32
2023-09-24,Backpack,Accessories,East,36-45,4,73.19,292.76
2023-01-19,Watch,Accessories,West,46+,4,134.88,539.52
2023-12-26,Phone,Electronics,East,46+,1,669.9,669.9
2024-03-05,Phone,Electronics,South,26-35,13,652.8,8486.4
2023-07-05,Jeans,Clothing,East,46+,5,53.85,269.25
2024-06-09,Jeans,Clothing,West,36-45,16,62.34,997.44
2024-01-10,Jeans,Clothing,South,46+,20,60.38,1207.6
2024-07-26,Phone,Electronics,South,36-45,1,761.75,761.75
2023-11-12,Watch,Accessories,East,46+,11,146.93,1616.23
2022-10-06,Jeans,Clothing,East,26-35,16,56.81,908.96
2024-03-26,Sneakers,Footwear,East,46+,19,94.02,1786.38
2023-10-30,Watch,Accessories,East,46+,12,137.49,1649.88
2023-02-14,Headphones,Electronics,North,46+,7,196.55,1375.85
2023-08-20,Phone,Electronics,West,46+,5,717.64,3588.2
2023-05-11,Jeans,Clothing,South,46+,13,53.97,701.61
2024-09-08,Watch,Accessories,West,18-25,12,155.01,1860.12
2022-06-24,Phone,Electronics,South,36-45,6,719.55,4317.3
2022-04-01,Watch,Accessories,East,46+,4,134.41,537.64
2023-06-14,T-Shirt,Clothing,South,46+,12,28.37,340.44
2024-10-21,Headphones,Electronics,East,18-25,16,183.26,2932.16
2024-05-01,Phone,Electronics,North,26-35,12,672.7,8072.4
2024-07-21,T-Shirt,Clothing,West,36-45,16,26.67,426.72
2024-07-15,Sneakers,Footwear,North,36-45,2,94.52,189.04
2022-08-24,Laptop,Electronics,East,18-25,6,1084.9,6509.4
2023-05-15,Headphones,Electronics,South,36-45,18,196.07,3529.26
2024-08-04,T-Shirt,Clothing,West,26-35,6,29.81,178.86
2024-06-04,Watch,Accessories,North,26-35,15,151.75,2276.25
2024-03-07,Laptop,Electronics,South,26-35,9,1049.41,9444.69
2022-05-09,Phone,Electronics,South,36-45,11,656.65,7223.15
2022-08-22,Jeans,Clothing,West,36-45,20,57.69,1153.8
2024-03-14,Phone,Electronics,East,36-45,15,715.41,10731.15
2023-09-02,Phone,Electronics,South,36-45,4,662.45,2649.8
2022-08-28,Headphones,Electronics,East,26-35,17,194.56,3307.52
