Customer_ID,Age_Group,Region,Preferred_Category,Total_Purchases,Total_Spent,Last_Purchase_Date,Loyalty_Score
CUST0084,18-25,North,Footwear,69,48997.03,2023-06-25,8.9
CUST0085,46+,West,Accessories,5,895.75,2024-04-02,4.6
CUST0086,46+,North,Footwear,31,2696.02,2023-07-05,5.3
CUST0087,18-25,East,Footwear,39,11045.27,2022-07-21,8.6
CUST0088,26-35,South,Footwear,57,35939.82,2024-05-03,3.9
CUST0089,26-35,North,Accessories,28,20582.09,2024-09-19,4.7
CUST0090,18-25,East,Clothing,9,2550.08,2022-10-05,5.6
CUST0091,26-35,North,Clothing,26,17621.05,2024-07-23,3.2
CUST0092,36-45,North,Clothing,36,11745.5,2024-03-23,5.2
CUST0093,18-25,North,Clothing,48,19996.32,2024-08-29,5.0
CUST0094,36-45,East,Clothing,34,20798.51,2023-08-07,7.2
CUST0095,46+,North,Electronics,21,14497.69,2023-03-15,8.0
CUST0096,26-35,South,Clothing,35,18854.17,2022-01-19,5.6
CUST0097,26-35,West,Clothing,77,50099.94,2023-09-18,3.0
CUST0098,46+,East,Accessories,45,17741.18,2023-09-11,3.0
CUST0099,18-25,West,Electronics,66,52771.75,2024-02-06,9.7
CUST0100,36-45,East,Electronics,62,6068.42,2023-10-28,9.9
CUST0101,36-45,East,Footwear,25,4061.17,2022-04-27,7.9
CUST0102,36-45,West,Clothing,4,2166.2,2023-06-16,10.0
CUST0103,46+,West,Accessories,5,2436.34,2023-01-24,10.0
CUST0104,26-35,East,Accessories,46,19802.36,2023-01-06,8.6
CUST0105,18-25,East,Accessories,17,10296.72,2023-01-10,7.5
CUST0106,18-25,East,Clothing,46,10004.81,2024-05-11,8.8
CUST0107,36-45,East,Footwear,75,20290.38,2024-08-21,8.7
CUST0108,18-25,North,Accessories,25,10633.95,2024-02-21,8.8
CUST0109,46+,East,Electronics,20,3060.48,2024-04-18,2.8
CUST0110,26-35,West,Footwear,24,15220.94,2022-12-29,5.4
CUST0111,18-25,East,Electronics,58,14798.46,2022-12-12,7.9
CUST0112,46+,South,Electronics,17,8684.62,2024-04-06,6.7
CUST0113,46+,West,Accessories,1,78.29,2024-02-04,2.8
CUST0114,36-45,North,Clothing,3,1672.68,2023-05-25,6.6
CUST0115,36-45,South,Footwear,17,2159.53,2023-09-19,5.5
CUST0116,18-25,South,Electronics,39,29692.55,2024-12-01,5.1
CUST0117,46+,East,Clothing,44,35072.58,2023-01-21,5.4
CUST0118,46+,South,Electronics,30,6547.23,2023-03-09,9.9
CUST0119,26-35,North,Electronics,47,27416.63,2024-02-08,8.1
CUST0120,18-25,East,Electronics,14,7562.46,2022-08-26,1.2
CUST0121,46+,West,Accessories,16,7367.39,2022-11-10,5.3
CUST0122,18-25,South,Footwear,54,29497.42,2023-07-07,7.0
CUST0123,46+,South,Electronics,66,38878.93,2022-08-22,2.1
CUST0124,46+,North,Clothing,78,15585.34,2024-12-07,3.4
CUST0125,36-45,South,Accessories,38,6470.65,2023-03-02,5.9
CUST0126,36-45,West,Clothing,1,59.56,2022-08-15,1.8
CUST0127,26-35,West,Electronics,66,7014.89,2023-06-09,7.5
CUST0128,46+,South,Footwear,34,13539.07,2022-12-24,1.9
CUST0129,36-45,North,Footwear,41,15149.35,2022-04-04,2.0
CUST0130,26-35,North,Clothing,43,13680.26,2023-07-04,4.9
CUST0131,36-45,North,Footwear,24,3248.98,2024-07-23,4.6
CUST0132,46+,East,Accessories,54,28978.28,2022-08-20,8.2
CUST0133,18-25,South,Clothing,14,5068.29,2024-06-16,6.3
CUST0134,46+,South,Footwear,79,5657.36,2022-09-25,7.2
CUST0135,46+,West,Electronics,53,20167.34,2023-10-06,1.6
CUST0136,26-35,North,Footwear,67,29635.93,2022-07-15,7.3
CUST0137,26-35,West,Accessories,45,24650.23,2022-11-01,6.8
CUST0138,18-25,North,Clothing,65,44631.22,2022-12-05,8.7
CUST0139,46+,North,Footwear,31,9243.31,2024-11-04,3.5
CUST0140,46+,South,Accessories,31,3382.81,2024-07-06,5.0
CUST0141,46+,North,Accessories,41,5700.24,2022-02-06,5.5
CUST0142,46+,North,Accessories,5,2339.24,2022-07-06,1.0
CUST0143,26-35,East,Accessories,44,14190.3,2023-04-02,1.5
CUST0144,36-45,West,Accessories,47,27585.95,2023-03-31,2.0
CUST0145,36-45,North,Footwear,38,17509.18,2022-08-06,4.4
CUST0146,26-35,North,Accessories,18,11994.82,2024-04-18,7.7
CUST0147,36-45,North,Clothing,25,3513.98,2023-03-18,8.7
CUST0148,26-35,West,Footwear,14,8650.07,2022-09-10,1.4
CUST0149,46+,West,Clothing,64,3408.21,2024-06-05,7.6
CUST0150,26-35,West,Clothing,17,2170.31,2023-10-22,6.9
CUST0151,46+,West,Clothing,36,12542.49,2023-08-26,4.1
CUST0152,26-35,West,Clothing,53,26600.35,2024-11-15,9.0
CUST0153,36-45,East,Clothing,26,5389.4,2023-12-09,7.4
CUST0154,26-35,South,Footwear,15,9308.72,2024-05-04,6.1
CUST0155,46+,East,Electronics,67,8700.14,2022-04-19,4.4
CUST0156,26-35,North,Footwear,21,16540.64,2022-10-27,7.2
CUST0157,36-45,North,Clothing,70,5196.09,2022-07-29,8.3
CUST0158,46+,South,Clothing,66,42123.21,2023-08-13,8.2
CUST0159,46+,North,Accessories,54,41446.43,2023-10-03,9.8
CUST0160,18-25,North,Footwear,26,13400.95,2024-06-26,8.0
CUST0161,36-45,South,Clothing,25,6765.83,2022-06-02,2.6
CUST0162,26-35,South,Electronics,49,3943.31,2023-06-26,3.5
CUST0163,26-35,South,Footwear,1,297.92,2022-11-14,7.4
CUST0164,26-35,North,Footwear,77,6786.9,2023-09-09,9.4
CUST0165,36-45,West,Electronics,41,18205.9,2024-12-02,9.6
CUST0166,26-35,North,Accessories,70,31694.39,2023-03-30,1.8
CUST0167,36-45,South,Footwear,47,12698.5,2024-12-22,9.6
CUST0168,18-25,West,Electronics,45,17291.27,2023-05-15,9.1
CUST0169,36-45,North,Accessories,15,5091.1,2023-08-03,5.9
CUST0170,36-45,North,Accessories,63,5221.99,2023-01-30,9.1
CUST0171,18-25,East,Electronics,22,17131.87,2024-12-28,8.0
CUST0172,18-25,North,Clothing,28,19563.97,2022-08-01,4.8
CUST0173,46+,South,Electronics,20,1356.29,2022-03-19,7.5
CUST0174,18-25,North,Electronics,23,14850.21,2023-04-12,6.0
CUST0175,46+,East,Accessories,58,30314.45,2022-02-04,4.9
CUST0176,18-25,West,Electronics,80,7794.26,2022-04-04,7.7
CUST0177,36-45,North,Electronics,38,24326.42,2022-06-27,3.7
CUST0178,46+,East,Accessories,51,33996.18,2022-11-17,1.3
CUST0179,26-35,South,Accessories,70,18986.37,2023-09-03,6.7
CUST0180,18-25,East,Clothing,16,1301.28,2024-03-18,6.2
CUST0181,36-45,North,Clothing,45,9396.12,2024-11-15,9.2
CUST0182,26-35,South,Clothing,29,14867.25,2022-08-23,3.3
CUST0183,18-25,South,Accessories,71,7444.95,2023-05-29,7.0
CUST0184,26-35,North,Accessories,43,13667.71,2023-04-26,7.0
CUST0185,36-45,North,Electronics,25,7208.49,2023-09-19,5.1
CUST0186,36-45,South,Footwear,55,9706.38,2023-03-30,3.8
CUST0187,36-45,West,Footwear,18,10074.33,2024-09-09,4.0
CUST0188,46+,West,Footwear,40,16609.14,2022-06-17,2.0
CUST0189,26-35,East,Clothing,34,20405.39,2022-06-04,6.6
CUST0190,18-25,North,Accessories,76,15927.36,2023-06-18,1.3
CUST0191,26-35,West,Footwear,51,11091.48,2023-08-19,7.9
CUST0192,46+,South,Electronics,51,16467.86,2023-05-05,1.1
CUST0193,26-35,South,Accessories,21,3871.54,2022-10-27,9.5
CUST0194,36-45,West,Electronics,29,18012.02,2023-06-26,3.1
CUST0195,26-35,East,Electronics,27,11837.18,2024-03-05,8.1
CUST0196,46+,West,Electronics,6,4712.65,2024-12-03,3.9
CUST0197,36-45,East,Clothing,49,26472.57,2022-06-09,4.3
CUST0198,46+,East,Clothing,67,23743.57,2023-12-08,8.4
CUST0199,46+,West,Electronics,65,46249.17,2023-04-17,5.0
CUST0200,36-45,North,Clothing,20,3803.59,2022-08-31,4.3
CUST0201,46+,South,Footwear,15,6167.06,2023-03-08,5.3
CUST0202,46+,South,Electronics,32,2635.46,2022-11-26,6.2
CUST0203,18-25,South,Clothing,8,1398.05,2024-11-24,9.3
CUST0204,18-25,West,Footwear,11,2336.9,2024-08-23,6.5
CUST0205,26-35,West,Clothing,53,26533.34,2023-01-08,8.2
CUST0206,26-35,East,Footwear,59,29346.6,2024-02-14,1.6
CUST0207,26-35,West,Electronics,3,605.28,2024-10-29,8.7
CUST0208,26-35,West,Electronics,23,9358.74,2022-03-21,6.5
CUST0209,18-25,North,Accessories,17,12350.31,2022-01-03,5.9
CUST0210,46+,West,Footwear,6,3439.39,2024-09-14,4.9
CUST0211,36-45,West,Electronics,55,8272.68,2023-04-22,5.3
CUST0212,36-45,North,Accessories,33,6328.27,2022-01-15,7.4
CUST0213,18-25,North,Accessories,27,15277.28,2024-01-12,3.8
CUST0214,26-35,North,Accessories,75,18016.84,2024-05-17,8.7
CUST0215,36-45,East,Accessories,27,9717.87,2024-09-15,8.1
CUST0216,36-45,South,Accessories,33,26115.58,2024-03-26,6.2
CUST0217,18-25,South,Clothing,58,36965.25,2022-07-25,9.5
CUST0218,46+,South,Footwear,71,36246.85,2022-04-17,7.2
CUST0219,46+,South,Electronics,12,8009.3,2024-06-10,5.2
CUST0220,18-25,North,Footwear,29,9515.66,2024-02-27,6.5
CUST0221,36-45,West,Electronics,23,12195.03,2023-02-18,5.0
CUST0222,26-35,East,Electronics,77,33334.14,2022-12-14,7.3
CUST0223,36-45,North,Clothing,1,781.73,2023-07-20,1.8
CUST0224,36-45,West,Accessories,52,25457.13,2022-05-21,5.7
CUST0225,36-45,North,Footwear,45,34760.96,2023-02-03,3.5
CUST0226,46+,West,Electronics,34,6163.39,2022-05-29,5.6
CUST0227,36-45,East,Electronics,66,50657.11,2023-05-28,8.9
CUST0228,46+,West,Accessories,32,19779.36,2024-07-28,9.7
CUST0229,18-25,West,Accessories,15,3650.47,2023-03-28,4.4
CUST0230,36-45,South,Accessories,46,20119.4,2023-06-24,1.1
CUST0231,36-45,South,Electronics,52,28874.22,2022-06-05,8.4
CUST0232,46+,South,Footwear,46,9840.53,2023-01-10,6.2
CUST0233,46+,South,Clothing,31,18648.73,2023-02-28,8.9
CUST0234,26-35,South,Clothing,80,25361.64,2022-09-03,8.0
CUST0235,46+,North,Electronics,70,53794.64,2024-01-31,8.6
CUST0236,46+,East,Footwear,63,11790.7,2024-11-12,7.9
CUST0237,46+,East,Clothing,74,10817.65,2024-05-16,5.7
CUST0238,18-25,West,Footwear,51,35460.3,2024-07-25,8.0
CUST0239,46+,North,Footwear,2,117.73,2022-07-26,2.9
CUST0240,36-45,East,Footwear,24,11074.14,2024-08-23,3.1
CUST0241,36-45,East,Clothing,64,23549.26,2024-02-02,4.8
CUST0242,46+,East,Footwear,58,10725.18,2023-04-14,2.2
CUST0243,36-45,North,Clothing,72,26939.81,2022-10-26,4.4
CUST0244,46+,South,Electronics,23,8421.23,2024-11-24,2.2
CUST0245,46+,East,Footwear,33,15562.93,2024-03-26,6.1
CUST0246,26-35,North,Electronics,28,18490.18,2022-07-17,5.3
CUST0247,36-45,West,Footwear,47,15050.81,2023-06-12,6.0
CUST0248,18-25,East,Accessories,16,5013.09,2023-02-12,7.1
CUST0249,36-45,South,Footwear,42,23305.57,2024-07-04,5.4
CUST0250,46+,North,Footwear,60,31427.05,2022-12-10,2.3
CUST0251,46+,East,Accessories,10,1093.34,2023-10-05,4.1
CUST0252,36-45,East,Footwear,78,41611.69,2024-06-30,3.4
CUST0253,46+,East,Accessories,22,4134.12,2023-04-26,1.2
CUST0254,18-25,East,Clothing,22,7651.25,2024-08-27,1.9
CUST0255,18-25,North,Accessories,68,42414.81,2023-06-22,1.7
CUST0256,18-25,South,Accessories,40,8880.68,2024-06-26,7.6
CUST0257,26-35,South,Clothing,4,305.46,2023-10-29,4.2
CUST0258,46+,West,Footwear,71,27237.99,2022-12-29,9.7
CUST0259,46+,West,Footwear,45,18505.74,2022-07-03,3.0
CUST0260,36-45,West,Footwear,53,12977.33,2022-01-01,3.7
CUST0261,36-45,South,Footwear,61,27530.77,2024-10-04,7.2
CUST0262,36-45,West,Electronics,56,36314.52,2022-01-15,6.4
CUST0263,26-35,East,Accessories,72,27203.74,2024-03-09,3.2
CUST0264,26-35,West,Footwear,11,4033.47,2023-07-11,3.2
CUST0265,36-45,East,Accessories,25,17252.79,2023-08-17,2.6
CUST0266,46+,North,Accessories,35,20137.41,2023-10-19,5.4
CUST0267,26-35,North,Electronics,69,4595.27,2023-08-01,9.8
CUST0268,26-35,East,Accessories,2,449.22,2024-10-07,2.4
CUST0269,36-45,South,Accessories,40,25571.76,2024-01-31,5.5
CUST0270,18-25,West,Footwear,11,7509.26,2022-04-25,9.6
CUST0271,46+,East,Electronics,70,28182.71,2023-05-28,2.7
CUST0272,18-25,West,Electronics,32,10835.15,2023-05-22,9.8
CUST0273,26-35,North,Accessories,13,5731.11,2024-08-26,9.8
CUST0274,36-45,West,Footwear,21,10959.34,2024-12-02,1.4
CUST0275,36-45,North,Accessories,39,7762.67,2023-03-23,9.0
CUST0276,26-35,North,Accessories,42,2574.63,2022-09-03,8.1
CUST0277,26-35,West,Electronics,6,2914.85,2022-11-14,7.2
CUST0278,18-25,East,Clothing,21,8923.73,2023-11-25,7.2
CUST0279,18-25,North,Footwear,20,11519.92,2022-09-15,8.1
CUST0280,26-35,West,Footwear,72,46182.34,2024-06-17,7.8
CUST0281,18-25,South,Accessories,46,27291.77,2022-03-22,3.3
CUST0282,46+,West,Footwear,70,40094.48,2023-01-18,2.7
CUST0283,36-45,East,Accessories,36,25226.87,2022-11-25,6.4
CUST0284,26-35,North,Accessories,38,25253.43,2024-07-18,5.9
CUST0285,46+,North,Clothing,3,1544.4,2023-05-05,4.3
CUST0286,18-25,East,Accessories,25,11076.31,2022-11-12,5.5
CUST0287,36-45,East,Accessories,42,5579.62,2022-05-17,5.7
CUST0288,26-35,North,Clothing,5,1007.8,2022-07-22,5.4
CUST0289,46+,North,Accessories,68,35222.49,2022-04-11,6.3
CUST0290,26-35,East,Electronics,2,1495.32,2024-10-03,2.9
CUST0291,46+,North,Electronics,47,22020.2,2024-05-01,9.4
CUST0292,18-25,East,Footwear,68,5473.31,2023-09-15,1.6
CUST0293,26-35,North,Electronics,13,7720.43,2023-01-24,5.8
CUST0294,26-35,South,Clothing,72,44056.5,2022-08-05,4.7
CUST0295,46+,East,Accessories,14,2451.5,2024-04-02,2.6
CUST0296,26-35,East,Accessories,46,33435.73,2023-10-27,6.0
CUST0297,46+,East,Accessories,42,21265.02,2023-03-15,6.1
CUST0298,36-45,West,Footwear,58,22366.24,2022-03-12,4.6
CUST0299,18-25,East,Clothing,39,2142.14,2023-03-16,9.9
CUST0300,18-25,East,Footwear,71,30775.21,2022-11-13,6.1
CUST0301,18-25,North,Accessories,46,7685.7,2023-05-27,3.4
CUST0302,36-45,South,Footwear,12,5734.38,2023-03-22,6.1
CUST0303,36-45,North,Accessories,23,9572.77,2022-07-15,9.1
CUST0304,18-25,East,Accessories,11,6986.01,2023-11-16,9.3
CUST0305,46+,East,Accessories,16,11237.44,2022-01-24,3.0
CUST0306,18-25,West,Footwear,68,5500.29,2022-11-03,5.9
CUST0307,26-35,East,Clothing,7,3886.59,2024-07-01,10.0
CUST0308,26-35,North,Accessories,38,24311.5,2023-11-20,2.3
CUST0309,46+,North,Electronics,71,24806.94,2024-10-24,1.8
CUST0310,26-35,West,Clothing,62,29107.27,2023-02-06,5.4
CUST0311,26-35,South,Electronics,35,22140.26,2022-07-03,3.9
CUST0312,46+,North,Accessories,47,14627.85,2022-02-19,3.9
CUST0313,26-35,East,Footwear,79,52628.86,2022-10-26,8.2
CUST0314,18-25,West,Clothing,26,14664.5,2022-06-25,2.4
CUST0315,18-25,North,Clothing,80,59603.78,2023-08-13,8.8
CUST0316,36-45,North,Electronics,40,15501.85,2023-03-05,1.2
CUST0317,26-35,South,Footwear,71,29271.15,2022-10-17,7.6
CUST0318,46+,North,Electronics,33,5865.41,2023-07-10,3.6
CUST0319,46+,North,Electronics,9,3073.35,2024-01-08,3.4
CUST0320,18-25,North,Footwear,50,11168.82,2022-07-23,4.4
CUST0321,46+,East,Electronics,24,4779.75,2022-02-14,9.7
CUST0322,26-35,North,Footwear,43,17950.33,2022-02-07,7.7
CUST0323,36-45,East,Footwear,39,8858.99,2024-10-23,9.8
CUST0324,18-25,East,Footwear,50,35890.08,2022-03-02,8.3
CUST0325,26-35,East,Clothing,44,31806.79,2022-06-29,6.9
CUST0326,26-35,West,Accessories,31,14869.89,2023-10-02,4.8
CUST0327,46+,East,Clothing,27,14562.57,2023-02-19,6.2
CUST0328,36-45,South,Clothing,56,44618.8,2022-10-25,9.8
CUST0329,36-45,South,Electronics,72,32379.92,2023-01-13,7.5
CUST0330,26-35,East,Electronics,41,29114.06,2024-04-22,4.7
CUST0331,46+,East,Footwear,20,12686.62,2023-01-14,2.0
CUST0332,36-45,North,Clothing,77,17258.54,2024-01-06,7.2
CUST0333,46+,North,Clothing,65,44499.24,2024-02-05,5.2
CUST0334,46+,South,Accessories,61,9341.21,2022-03-08,2.7
CUST0335,18-25,West,Footwear,53,11496.53,2023-02-20,7.0
CUST0336,18-25,South,Clothing,57,39919.76,2023-10-28,5.4
CUST0337,26-35,West,Accessories,52,32872.37,2024-02-19,6.5
CUST0338,46+,East,Electronics,67,8843.14,2022-03-28,5.1
CUST0339,46+,South,Electronics,72,24519.48,2022-04-11,7.9
CUST0340,36-45,South,Accessories,51,36378.21,2023-08-09,8.0
CUST0341,26-35,West,Accessories,38,19374.33,2024-11-24,1.5
CUST0342,46+,South,Accessories,12,7103.82,2022-10-05,2.0
CUST0343,46+,West,Footwear,58,3983.68,2023-02-18,5.1
CUST0344,18-25,West,Footwear,42,23889.1,2022-12-02,9.2
CUST0345,18-25,North,Electronics,58,30482.15,2024-02-26,1.8
CUST0346,46+,South,Accessories,6,3757.17,2022-11-04,9.2
CUST0347,26-35,South,Clothing,7,2552.8,2024-07-02,3.8
CUST0348,26-35,East,Electronics,17,13095.53,2023-06-03,1.0
CUST0349,46+,North,Accessories,64,29288.06,2024-10-07,1.1
CUST0350,26-35,South,Accessories,59,21099.2,2022-01-14,1.7
CUST0351,36-45,South,Clothing,7,1320.41,2023-12-16,1.5
CUST0352,26-35,North,Electronics,74,50209.8,2022-06-29,3.7
CUST0353,18-25,North,Accessories,23,3933.03,2022-12-30,3.6
CUST0354,36-45,West,Electronics,12,7516.61,2024-02-16,3.9
CUST0355,46+,North,Electronics,38,15318.28,2023-07-17,2.1
CUST0356,46+,East,Clothing,27,13744.09,2024-12-19,2.0
CUST0357,46+,North,Footwear,55,27864.84,2024-12-12,3.8
CUST0358,26-35,East,Accessories,67,39991.53,2023-01-04,5.5
CUST0359,36-45,South,Clothing,1,138.66,2022-08-30,5.2
CUST0360,46+,South,Accessories,6,1802.07,2023-03-11,6.0
CUST0361,26-35,North,Footwear,33,21207.34,2024-11-03,3.8
CUST0362,18-25,East,Electronics,43,13158.91,2022-03-01,7.5
CUST0363,26-35,South,Footwear,44,32635.23,2024-08-29,5.3
CUST0364,26-35,North,Accessories,20,10408.01,2023-11-18,9.0
CUST0365,46+,West,Electronics,67,18392.02,2023-10-09,7.5
CUST0366,26-35,North,Footwear,46,4584.35,2022-03-05,2.3
CUST0367,46+,East,Clothing,74,37315.74,2022-08-28,2.7
CUST0368,36-45,East,Electronics,35,12614.08,2023-05-02,5.5
CUST0369,46+,East,Footwear,28,12427.11,2024-02-06,2.6
CUST0370,26-35,North,Electronics,57,24481.27,2024-10-21,8.2
CUST0371,26-35,South,Footwear,62,37158.51,2023-11-02,5.7
CUST0372,18-25,South,Clothing,27,16022.56,2024-12-05,5.1
CUST0373,18-25,North,Footwear,6,3391.74,2022-06-28,6.3
CUST0374,46+,East,Electronics,14,6166.07,2023-10-02,6.9
CUST0375,36-45,North,Clothing,42,8417.5,2024-12-26,3.6
CUST0376,46+,East,Electronics,35,5669.67,2022-02-01,3.5
CUST0377,26-35,North,Footwear,71,20509.32,2023-08-04,2.3
CUST0378,26-35,South,Electronics,40,20397.89,2024-06-27,4.0
CUST0379,26-35,North,Electronics,61,44375.63,2024-02-25,1.5
CUST0380,18-25,North,Accessories,51,9396.1,2024-07-02,6.4
CUST0381,36-45,East,Footwear,26,15201.52,2024-12-28,7.0
CUST0382,46+,North,Clothing,12,7915.66,2024-08-17,9.3
CUST0383,46+,North,Footwear,60,24174.56,2022-10-22,9.5
CUST0384,36-45,East,Accessories,24,13793.06,2023-10-28,7.0
CUST0385,46+,West,Electronics,9,3658.51,2024-08-02,4.2
CUST0386,36-45,South,Footwear,78,37518.68,2024-04-10,5.6
CUST0387,36-45,North,Electronics,39,17532.81,2024-04-26,4.6
CUST0388,26-35,South,Clothing,62,20947.47,2024-06-01,4.1
CUST0389,36-45,West,Clothing,23,12580.06,2024-09-23,1.7
CUST0390,46+,North,Footwear,72,8873.31,2023-09-23,5.0
CUST0391,18-25,West,Electronics,77,48395.08,2024-10-09,4.4
CUST0392,18-25,North,Clothing,18,12878.03,2022-01-01,9.1
CUST0393,26-35,South,Accessories,69,18535.29,2024-07-04,6.5
CUST0394,26-35,South,Footwear,39,18630.58,2023-09-16,9.2
CUST0395,36-45,West,Electronics,75,4206.71,2024-04-07,9.9
CUST0396,36-45,South,Electronics,48,34838.73,2022-01-02,9.7
CUST0397,18-25,East,Footwear,4,905.72,2024-03-18,7.3
CUST0398,46+,East,Accessories,49,18443.23,2022-12-22,2.9
CUST0399,26-35,West,Clothing,72,24368.13,2024-05-04,9.3
CUST0400,36-45,South,Clothing,18,1056.64,2022-10-22,6.8
